StrongsId,ReferenceCount,PartOfSpeech
H1968,17,proper masculine noun
H1969,22,masculine noun
H1970,1,verb
H1971,1,feminine noun
H1972,1,verb
H1973,16,adverb
H1974,2,masculine noun
H1975,7,demonstrative pronoun
H1976,2,demonstrative pronoun
H1977,1,demonstrative pronoun
H1978,1,masculine noun
H1979,6,feminine noun
H1980,1548,verb
H1981,3,verb
H1982,2,masculine noun
H1983,3,masculine noun
H1984,165,verb
H1985,2,proper masculine noun
H1986,9,verb
H1987,1,proper masculine noun
H1988,11,adverb
H1989,1,feminine noun
H1990,1,proper locative noun
H1991,1,masculine noun
H1992,822,third person plural masculine personal pronoun
H1993,34,verb
H1994,12,third person plural personal pronoun
H1995,83,masculine noun
H1996,2,proper locative noun
H1997,1,proper locative noun
H1998,1,feminine noun
H1999,2,feminine noun
H2000,14,verb
H2001,54,proper masculine noun
H2002,3,masculine noun
H2003,1,masculine plural noun
H2004,13,personal pronoun
H2005,318,hypothetical participle, interjection
H2006,18,interjection
H2007,48,third person plural feminine personal pronoun
H2008,50,adverb
H2009,841,demonstrative particle
H2010,1,feminine noun
H2011,13,proper locative noun
H2012,3,masculine locative noun
H2013,8,interjection, verb
H2014,1,feminine noun
H2015,94,verb
H2016,2,masculine noun
H2017,1,masculine noun
H2018,1,feminine noun
H2019,1,adjective
H2020,1,feminine noun
H2021,1,masculine noun
H2022,546,masculine noun
H2023,12,proper locative noun
H2024,1,proper locative noun
H2025,0,masculine noun
H2026,167,verb
H2027,5,masculine noun
H2028,5,feminine noun
H2029,43,verb
H2030,16,feminine noun
H2031,1,masculine noun
H2032,3,masculine noun
H2033,1,proper locative noun
H2034,1,feminine noun
H2035,1,feminine noun
H2036,1,proper masculine noun
H2037,1,proper masculine noun
H2038,1,proper locative noun
H2039,7,proper locative noun, proper masculine noun
H2040,43,verb
H2041,1,masculine noun, proper locative noun
H2042,12,masculine noun
H2043,5,adjective, proper masculine noun
H2044,1,proper masculine noun
H2045,1,feminine noun
H2046,1,masculine noun
H2047,4,proper masculine noun
H2048,10,verb
H2049,1,masculine plural noun
H2050,1,verb
H2051,0,proper locative noun
H2052,1,proper locative noun
H2053,13,masculine noun
H2054,1,adjective, masculine noun
H2055,1,proper masculine noun
H2056,1,masculine noun
H2057,1,proper masculine noun
H2058,1,proper masculine noun
H2059,1,proper masculine noun
H2060,10,proper feminine noun
H2061,7,masculine noun
H2062,6,proper masculine noun
H2063,604,adverb, demonstrative pronoun
H2064,1,verb
H2065,1,masculine noun
H2066,8,proper masculine noun
H2067,6,proper masculine noun
H2068,2,proper masculine noun
H2069,9,proper masculine noun
H2070,2,masculine noun
H2071,1,proper masculine noun
H2072,1,proper masculine noun
H2073,5,masculine noun
H2074,45,proper locative noun, proper masculine noun
H2075,3,adjective
H2076,134,verb
H2077,162,masculine noun
H2078,12,proper masculine noun
H2079,2,proper masculine noun
H2080,1,proper feminine noun
H2081,1,proper masculine noun
H2082,1,verb
H2083,6,proper masculine noun
H2084,1,verb
H2085,1,masculine noun
H2086,13,masculine noun
H2087,11,masculine noun
H2088,1177,demonstrative pronoun
H2089,0,masculine noun
H2090,12,demonstrative pronoun
H2091,389,masculine noun
H2092,1,verb
H2093,1,proper masculine noun
H2094,22,verb
H2095,1,verb
H2096,2,masculine noun
H2097,1,demonstrative pronoun, relative pronoun
H2098,15,demonstrative pronoun, relative pronoun
H2099,2,proper masculine noun
H2100,42,verb
H2101,13,masculine noun
H2102,10,verb
H2103,1,verb
H2104,1,masculine plural patrial noun
H2105,1,proper masculine noun
H2106,2,feminine noun
H2107,2,verb
H2108,16,feminine adjective, feminine noun, preposition
H2109,1,verb
H2110,1,verb
H2111,3,verb
H2112,2,verb
H2113,6,feminine noun
H2114,77,verb
H2115,3,verb
H2116,1,masculine noun
H2117,1,proper masculine noun
H2118,2,verb
H2119,3,verb
H2120,1,proper feminine noun
H2121,1,adjective
H2122,6,masculine noun
H2123,3,masculine noun, collective masculine noun
H2124,2,proper masculine noun
H2125,1,proper masculine noun
H2126,1,proper masculine noun
H2127,1,proper masculine noun
H2128,10,proper locative noun, proper masculine noun
H2129,1,proper masculine noun
H2130,3,masculine patrial noun
H2131,7,masculine noun
H2132,38,masculine noun, proper locative noun
H2133,1,proper masculine noun
H2134,11,adjective
H2135,8,verb
H2136,1,feminine noun
H2137,1,feminine noun
H2138,4,masculine noun
H2139,9,proper masculine noun
H2140,2,proper masculine noun
H2141,4,verb
H2142,232,verb
H2143,23,masculine noun
H2144,1,proper masculine noun
H2145,82,adjective, masculine noun
H2146,24,masculine noun
H2147,12,proper masculine noun
H2148,43,proper masculine noun
H2149,1,masculine noun
H2150,1,masculine noun
H2151,8,verb
H2152,3,feminine noun
H2153,7,proper feminine noun
H2154,29,verb
H2155,3,proper masculine noun
H2156,5,masculine/feminine noun
H2157,1,proper masculine noun
H2158,7,masculine noun
H2159,0,masculine noun
H2160,1,proper masculine noun
H2161,13,verb
H2162,1,masculine noun
H2163,3,verb
H2164,1,verb
H2165,4,masculine noun
H2166,11,masculine noun
H2167,46,verb
H2168,3,verb
H2169,1,masculine noun
H2170,4,masculine noun
H2171,1,masculine noun
H2172,4,feminine noun
H2173,1,feminine noun
H2174,15,proper masculine noun
H2175,2,proper masculine noun
H2176,3,feminine noun
H2177,3,masculine noun
H2178,4,masculine noun
H2179,2,verb
H2180,11,masculine noun
H2181,93,verb
H2182,5,proper locative noun
H2183,11,masculine plural noun
H2184,9,feminine noun
H2185,2,feminine noun
H2186,20,verb
H2187,1,verb
H2188,1,feminine noun
H2189,2,feminine noun
H2190,2,proper masculine noun
H2191,5,masculine noun
H2192,1,adjective
H2193,1,verb
H2194,12,verb
H2195,21,masculine noun
H2196,5,verb
H2197,6,masculine noun
H2198,2,adjective
H2199,72,verb
H2200,1,verb
H2201,19,feminine noun
H2202,1,proper locative noun
H2203,3,feminine noun
H2204,26,verb
H2205,179,adjective
H2206,19,masculine noun
H2207,1,masculine noun
H2208,4,masculine noun
H2209,6,feminine noun
H2210,2,verb
H2211,1,verb
H2212,7,verb
H2213,10,masculine noun
H2214,1,masculine noun
H2215,1,verb
H2216,21,proper masculine noun
H2217,1,proper masculine noun
H2218,4,proper locative noun
H2219,39,verb
H2220,91,feminine noun
H2221,2,masculine noun
H2222,1,masculine noun, verb
H2223,1,masculine noun
H2224,18,verb
H2225,1,masculine noun
H2226,21,proper masculine noun
H2227,6,masculine patrial noun
H2228,5,proper masculine noun
H2229,2,verb
H2230,9,masculine noun
H2231,2,feminine noun
H2232,56,verb
H2233,230,masculine noun
H2234,1,masculine noun
H2235,2,masculine plural noun
H2236,35,verb
H2237,1,verb
H2238,4,proper feminine noun
H2239,7,feminine noun
H2240,4,proper masculine noun
H2241,2,proper masculine noun
H2242,1,proper masculine noun
H2243,1,masculine noun
H2244,33,verb
H2245,1,verb
H2246,2,proper masculine noun
H2247,5,verb
H2248,1,masculine noun
H2249,3,proper locative noun
H2250,7,feminine noun
H2251,5,verb
H2252,2,proper masculine noun
H2253,1,masculine noun
H2254,27,verb
H2255,6,verb
H2256,62,masculine noun
H2257,3,masculine noun
H2258,4,masculine noun
H2259,5,masculine noun
H2260,1,masculine noun
H2261,2,feminine noun
H2262,1,proper masculine noun
H2263,13,verb
H2264,2,masculine noun
H2265,2,proper masculine noun
H2266,28,verb
H2267,7,masculine noun
H2268,11,proper masculine noun
H2269,3,masculine noun
H2270,12,adjective, masculine noun
H2271,1,masculine noun
H2272,1,feminine noun
H2273,1,feminine noun
H2274,1,feminine noun
H2275,71,proper locative noun, proper masculine noun
H2276,6,masculine noun
H2277,1,masculine noun
H2278,1,feminine noun
H2279,4,feminine noun
H2280,33,verb
H2281,1,masculine plural noun
H2282,62,masculine noun
H2283,1,feminine noun
H2284,5,masculine noun
H2285,1,proper masculine noun
H2286,2,proper masculine noun
H2287,16,verb
H2288,3,masculine plural noun
H2289,2,masculine noun
H2290,7,proper masculine noun
H2291,3,adjective, proper masculine noun
H2292,11,proper masculine noun
H2293,1,proper masculine noun
H2294,5,proper feminine noun
H2295,4,proper feminine noun
H2296,44,verb
H2297,1,adjective
H2298,14,adjective
H2299,4,adjective
H2300,6,verb
H2301,2,proper masculine noun
H2302,3,verb
H2303,1,adjective
H2304,2,feminine noun
H2305,1,feminine noun
H2306,1,masculine noun
H2307,3,proper masculine noun
H2308,58,verb
H2309,1,masculine noun
H2310,3,adjective
H2311,1,proper masculine noun
H2312,2,masculine noun
H2313,2,proper masculine noun
H2314,1,verb
H2315,38,masculine noun
H2316,0,proper masculine noun
H2317,1,proper locative noun
H2318,10,verb
H2319,53,adjective
H2320,283,masculine noun
H2321,1,proper feminine noun
H2322,1,proper locative noun
H2323,1,adjective
H2324,14,verb
H2325,1,verb
H2326,1,masculine noun
H2327,1,proper locative noun
H2328,1,verb
H2329,3,masculine noun
H2330,4,verb
H2331,6,verb
H2332,2,proper feminine noun
H2333,4,feminine noun
H2334,3,proper locative noun
H2335,1,masculine noun
H2336,12,masculine noun
H2337,0,masculine noun
H2338,1,verb
H2339,7,masculine noun
H2340,25,masculine patrial noun
H2341,7,proper locative noun, proper masculine noun
H2342,60,verb
H2343,2,proper masculine noun
H2344,23,masculine noun
H2345,4,adjective
H2346,133,feminine noun
H2347,23,verb
H2348,7,masculine noun
H2349,1,proper masculine noun
H2350,1,masculine noun
H2351,164,masculine noun
H2352,1,masculine noun
H2353,2,masculine noun
H2354,15,proper masculine noun
H2355,1,masculine noun
H2356,8,masculine noun
H2357,1,verb
H2358,1,adjective
H2359,1,proper masculine noun
H2360,1,proper masculine noun
H2361,10,proper masculine noun
H2362,2,proper locative noun
H2363,20,verb
H2364,1,proper masculine noun
H2365,14,proper masculine noun
H2366,4,proper feminine noun, proper masculine noun
H2367,4,proper masculine noun
H2368,14,masculine noun
H2369,2,proper masculine noun
H2370,31,verb
H2371,23,proper masculine noun
H2372,51,verb
H2373,13,masculine noun
H2374,21,masculine noun
H2375,1,proper masculine noun
H2376,12,masculine noun
H2377,35,masculine noun
H2378,1,feminine noun
H2379,2,feminine noun
H2380,5,feminine noun
H2381,1,proper masculine noun
H2382,1,proper masculine noun
H2383,1,proper masculine noun
H2384,9,masculine noun
H2385,3,masculine noun
H2386,7,masculine noun
H2387,2,proper masculine noun
H2388,290,verb
H2389,56,adjective
H2390,2,adjective
H2391,1,masculine noun
H2392,5,masculine noun
H2393,4,feminine noun
H2394,6,feminine noun
H2395,1,proper masculine noun
H2396,130,proper masculine noun
H2397,7,masculine noun
H2398,238,verb
H2399,34,masculine noun
H2400,19,adjective, masculine noun
H2401,8,feminine noun
H2402,1,feminine noun
H2403,294,feminine noun
H2404,9,verb
H2405,1,feminine noun
H2406,30,feminine noun
H2407,5,proper masculine noun
H2408,1,masculine noun
H2409,0,feminine noun
H2410,2,proper masculine noun
H2411,2,proper masculine noun
H2412,2,proper masculine noun
H2413,1,verb
H2414,3,verb
H2415,2,masculine noun
H2416,503,adjective, feminine noun, masculine noun
H2417,7,adjective
H2418,6,verb
H2419,1,proper masculine noun
H2420,17,feminine noun
H2421,263,verb
H2422,1,adjective
H2423,20,feminine noun
H2424,1,feminine abstract noun
H2425,17,verb
H2426,27,masculine noun
H2427,7,masculine noun
H2428,224,masculine noun
H2429,7,masculine noun
H2430,1,feminine noun
H2431,2,proper masculine noun
H2432,1,proper locative noun
H2433,1,masculine noun
H2434,1,masculine noun
H2435,25,adjective
H2436,37,masculine noun
H2437,2,proper masculine noun
H2438,25,proper masculine noun
H2439,0,verb
H2440,1,adverb
H2441,18,masculine noun
H2442,14,verb
H2443,3,feminine noun
H2444,3,proper locative noun
H2445,14,adjective
H2446,2,proper masculine noun
H2447,1,masculine adjective
H2448,1,adjective
H2449,27,verb
H2450,137,adjective
H2451,149,feminine noun
H2452,8,feminine noun
H2453,2,masculine patrial noun, proper masculine noun
H2454,5,feminine noun
H2455,7,masculine noun
H2456,1,verb
H2457,5,feminine noun
H2458,2,proper feminine noun
H2459,92,masculine noun
H2460,1,proper masculine noun
H2461,44,masculine noun
H2462,1,proper locative noun
H2463,1,proper locative noun
H2464,1,feminine noun
H2465,5,masculine noun
H2466,1,proper masculine noun
H2467,1,masculine noun
H2468,2,proper feminine noun
H2469,2,proper masculine noun
H2470,76,verb
H2471,14,feminine noun
H2472,64,masculine noun
H2473,3,proper locative noun
H2474,31,masculine/feminine noun
H2475,1,masculine noun
H2476,1,feminine noun
H2477,3,proper locative noun
H2478,1,proper locative noun
H2479,4,feminine noun
H2480,1,verb
H2481,2,masculine noun
H2482,1,proper locative noun
H2483,24,masculine noun
H2484,1,feminine noun
H2485,6,masculine noun
H2486,21,substantival interjection
H2487,12,feminine noun
H2488,2,feminine noun
H2489,3,adjective
H2490,143,verb
H2491,93,adjective, masculine noun
H2492,30,verb
H2493,22,masculine noun
H2494,1,proper masculine noun
H2495,1,masculine noun
H2496,5,masculine noun
H2497,5,proper masculine noun
H2498,28,verb
H2499,4,verb
H2500,2,masculine noun, preposition
H2501,1,proper locative noun
H2502,44,verb
H2503,5,proper masculine noun
H2504,10,feminine noun
H2505,65,verb
H2506,67,masculine noun
H2507,2,proper masculine noun
H2508,3,masculine noun
H2509,4,adjective
H2510,2,proper locative noun
H2511,1,masculine noun
H2512,1,masculine noun
H2513,29,feminine noun
H2514,1,feminine noun
H2515,1,feminine noun
H2516,1,masculine patrial noun
H2517,1,proper masculine noun
H2518,34,proper masculine noun
H2519,4,feminine noun
H2520,2,proper locative noun
H2521,1,proper locative noun
H2522,3,verb
H2523,1,adjective
H2524,4,masculine noun
H2525,2,adjective
H2526,16,proper locative noun, proper masculine noun
H2527,14,masculine noun
H2528,2,feminine noun
H2529,10,feminine noun
H2530,28,feminine noun, verb
H2531,6,masculine noun
H2532,18,adjective, feminine noun
H2533,1,proper masculine noun
H2534,122,feminine noun
H2535,6,feminine noun
H2536,1,proper masculine noun
H2537,3,proper feminine noun
H2538,3,proper masculine noun
H2539,1,masculine patrial noun
H2540,2,proper locative noun
H2541,1,masculine noun
H2542,1,masculine noun
H2543,96,masculine noun
H2544,13,proper masculine noun
H2545,11,feminine noun
H2546,1,masculine noun
H2547,1,proper locative noun
H2548,1,adjective
H2549,45,adjective
H2550,41,verb
H2551,2,feminine noun
H2552,13,verb
H2553,8,masculine noun
H2554,8,verb
H2555,60,masculine noun
H2556,6,verb
H2557,13,masculine noun
H2558,6,masculine noun
H2559,2,verb
H2560,6,verb
H2561,1,masculine noun
H2562,6,masculine noun
H2563,33,masculine noun
H2564,3,masculine noun
H2565,0,masculine noun
H2566,1,proper masculine noun
H2567,1,verb
H2568,344,masculine/feminine noun
H2569,1,masculine noun
H2570,4,masculine noun
H2571,4,adjective
H2572,163,numeral
H2573,5,masculine noun
H2574,36,proper locative noun, proper masculine noun
H2575,2,proper locative noun
H2576,1,proper locative noun
H2577,2,masculine patrial noun
H2578,1,proper locative noun
H2579,0,proper locative noun
H2580,69,masculine noun
H2581,1,proper masculine noun
H2582,4,proper masculine noun
H2583,143,verb
H2584,13,proper feminine noun
H2585,16,proper locative noun, proper masculine noun
H2586,11,proper masculine noun
H2587,13,adjective
H2588,1,feminine noun
H2589,1,feminine noun, verb
H2590,5,masculine plural abstract noun, verb
H2591,2,masculine plural noun
H2592,2,proper masculine noun
H2593,1,adjective
H2594,1,feminine noun
H2595,47,feminine noun
H2596,5,verb
H2597,4,feminine noun
H2598,8,feminine noun
H2599,1,masculine patrial noun
H2600,32,adverb
H2601,4,proper masculine noun
H2602,1,masculine noun
H2603,78,verb
H2604,2,verb
H2605,12,proper masculine noun
H2606,4,proper masculine noun
H2607,11,proper masculine noun
H2608,29,proper masculine noun
H2609,1,proper locative noun
H2610,11,verb
H2611,13,adjective
H2612,1,masculine noun
H2613,1,feminine noun
H2614,2,verb
H2615,1,proper locative noun
H2616,3,verb
H2617,247,masculine noun
H2618,0,proper masculine noun
H2619,1,proper masculine noun
H2620,37,verb
H2621,5,proper locative noun, proper masculine noun
H2622,1,feminine noun
H2623,32,adjective
H2624,6,feminine noun
H2625,6,masculine noun
H2626,1,adjective
H2627,1,adjective
H2628,1,verb
H2629,2,verb
H2630,1,verb
H2631,2,verb
H2632,2,masculine noun
H2633,5,masculine noun
H2634,2,adjective
H2635,9,masculine noun
H2636,1,verb
H2637,21,verb
H2638,19,adjective
H2639,2,masculine noun
H2640,3,masculine noun
H2641,1,proper masculine noun
H2642,1,masculine noun
H2643,1,adjective
H2644,1,verb
H2645,12,verb
H2646,3,feminine noun
H2647,1,proper masculine noun
H2648,9,verb
H2649,3,masculine noun
H2650,3,proper masculine noun
H2651,6,masculine noun
H2652,5,proper masculine noun
H2653,1,verb
H2654,75,verb
H2655,11,adjective
H2656,39,masculine noun
H2657,2,proper feminine noun
H2658,22,verb
H2659,17,verb
H2660,9,proper locative noun, proper masculine noun
H2661,2,feminine noun
H2662,1,masculine patrial noun
H2663,1,proper locative noun
H2664,23,verb
H2665,1,masculine noun
H2666,1,verb
H2667,1,masculine noun
H2668,1,feminine noun
H2669,2,feminine noun
H2670,17,adjective
H2671,44,masculine noun
H2672,25,verb
H2673,15,verb
H2674,18,proper locative noun
H2675,1,proper locative noun
H2676,3,feminine noun
H2677,125,masculine noun
H2678,13,masculine noun
H2679,1,proper masculine collective noun
H2680,1,proper masculine collective noun
H2681,1,masculine noun
H2682,21,masculine noun
H2683,1,masculine noun
H2684,2,masculine noun
H2685,2,verb
H2686,3,verb
H2687,3,masculine noun
H2688,2,proper locative noun
H2689,29,feminine noun
H2690,6,verb
H2691,189,masculine noun
H2692,1,proper locative noun
H2693,1,proper locative noun
H2694,1,proper locative noun
H2695,2,proper masculine noun
H2696,18,proper locative noun, proper masculine noun
H2697,2,masculine patrial noun
H2698,6,proper locative noun
H2699,1,proper locative noun
H2700,2,proper masculine noun
H2701,1,proper locative noun
H2702,1,proper locative noun
H2703,1,proper locative noun
H2704,3,proper locative noun
H2705,4,proper locative noun
H2706,126,masculine noun
H2707,4,verb
H2708,105,feminine noun
H2709,2,proper masculine noun
H2710,19,verb
H2711,2,masculine noun
H2712,2,proper locative noun
H2713,27,verb
H2714,12,masculine noun
H2715,13,masculine noun
H2716,1,masculine noun
H2717,42,verb
H2718,1,verb
H2719,413,feminine noun
H2720,8,adjective
H2721,16,masculine noun
H2722,17,proper locative noun
H2723,42,feminine noun
H2724,8,feminine noun
H2725,1,masculine noun
H2726,2,proper masculine noun
H2727,1,verb
H2728,1,masculine noun
H2729,39,verb
H2730,6,adjective
H2731,9,feminine noun
H2732,2,proper locative noun
H2733,2,masculine patrial noun
H2734,90,verb
H2735,2,proper locative noun
H2736,1,proper masculine noun
H2737,1,masculine noun
H2738,3,masculine noun
H2739,1,proper masculine noun
H2740,41,masculine noun
H2741,1,masculine patrial noun
H2742,18,adjective, masculine noun
H2743,1,proper masculine noun
H2744,2,proper masculine noun
H2745,1,proper masculine noun
H2746,1,masculine noun
H2747,2,masculine noun
H2748,11,masculine noun
H2749,5,masculine noun
H2750,6,masculine noun
H2751,1,masculine noun
H2752,6,masculine patrial noun
H2753,4,proper masculine noun
H2754,2,masculine noun
H2755,2,masculine noun
H2756,2,proper masculine noun
H2757,3,masculine noun
H2758,3,masculine noun
H2759,1,adjective
H2760,1,verb
H2761,1,verb
H2762,1,masculine plural noun
H2763,52,verb
H2764,38,masculine noun
H2765,1,proper locative noun
H2766,11,proper masculine noun
H2767,9,proper locative noun
H2768,13,proper masculine noun
H2769,1,proper masculine noun
H2770,2,masculine noun
H2771,12,proper locative noun, proper masculine noun
H2772,3,masculine patrial noun
H2773,4,proper masculine noun
H2774,1,proper masculine noun
H2775,4,masculine noun
H2776,1,proper locative noun
H2777,1,feminine noun
H2778,41,verb
H2779,7,masculine noun
H2780,1,proper masculine noun
H2781,73,feminine noun
H2782,12,verb
H2783,1,feminine noun
H2784,2,feminine noun
H2785,1,masculine noun
H2786,5,verb
H2787,11,verb
H2788,1,masculine noun
H2789,17,masculine noun
H2790,74,verb
H2791,2,adverb, masculine noun
H2792,1,proper masculine noun
H2793,7,masculine noun
H2794,2,masculine noun
H2795,9,adjective
H2796,35,masculine noun
H2797,2,proper masculine noun
H2798,2,proper masculine noun
H2799,4,feminine noun
H2800,3,proper locative noun
H2801,1,verb
H2802,1,proper locative noun
H2803,124,verb
H2804,1,verb
H2805,8,masculine noun
H2806,1,proper masculine noun
H2807,1,proper masculine noun
H2808,3,masculine noun
H2809,38,proper locative noun
H2810,2,masculine noun
H2811,15,proper masculine noun
H2812,1,proper masculine noun
H2813,2,proper masculine noun
H2814,15,verb
H2815,5,proper masculine noun
H2816,1,masculine noun
H2817,2,proper masculine noun
H2818,3,noun, verb
H2819,0,feminine noun
H2820,27,verb
H2821,18,verb
H2822,80,masculine noun
H2823,1,adjective
H2824,1,feminine noun
H2825,5,feminine noun
H2826,1,verb
H2827,1,verb
H2828,5,proper masculine noun
H2829,1,proper locative noun
H2830,3,masculine noun
H2831,1,masculine noun
H2832,2,proper locative noun
H2833,25,masculine noun
H2834,11,verb
H2835,1,masculine noun
H2836,11,verb
H2837,4,masculine noun
H2838,8,masculine noun
H2839,1,masculine noun
H2840,1,masculine noun
H2841,1,feminine noun
H2842,2,masculine noun
H2843,5,masculine patrial noun
H2844,5,masculine noun
H2845,14,proper masculine noun
H2846,4,verb
H2847,1,feminine noun
H2848,1,masculine noun
H2849,1,masculine noun
H2850,48,masculine patrial noun
H2851,8,feminine noun
H2852,1,verb
H2853,2,verb
H2854,1,feminine noun
H2855,2,proper locative noun
H2856,27,verb
H2857,1,verb
H2858,1,feminine noun
H2859,33,verb
H2860,20,masculine noun
H2861,1,feminine noun
H2862,1,verb
H2863,1,masculine noun
H2864,8,verb
H2865,51,verb
H2866,1,masculine noun
H2867,1,proper masculine noun
H2868,1,verb
H2869,2,masculine noun
H2870,2,proper masculine noun
H2871,1,masculine noun
H2872,2,masculine noun
H2873,11,verb
H2874,10,masculine noun
H2875,3,proper masculine noun
H2876,32,masculine noun
H2877,1,masculine noun
H2878,3,feminine noun
H2879,1,feminine noun
H2880,1,proper locative noun
H2881,16,verb
H2882,1,proper masculine noun
H2883,10,verb
H2884,2,proper masculine noun
H2885,49,masculine noun
H2886,1,proper masculine noun
H2887,1,proper noun
H2888,1,proper locative noun
H2889,93,adjective
H2890,2,masculine noun
H2891,95,verb
H2892,2,masculine noun
H2893,15,feminine noun
H2894,1,verb
H2895,25,verb
H2896,562,adjective, feminine noun, masculine noun
H2897,4,proper locative noun
H2898,32,masculine noun
H2899,1,proper masculine noun
H2900,18,proper masculine noun
H2901,2,verb
H2902,12,verb
H2903,3,feminine noun
H2904,14,verb
H2905,26,masculine noun
H2906,2,masculine noun
H2907,1,verb
H2908,1,adverb
H2909,1,verb
H2910,2,feminine noun
H2911,1,masculine noun
H2912,8,verb
H2913,1,feminine noun
H2914,2,masculine plural noun
H2915,1,masculine noun
H2916,13,masculine noun
H2917,2,masculine noun
H2918,7,feminine noun
H2919,31,masculine noun
H2920,5,masculine noun
H2921,8,verb
H2922,1,masculine noun
H2923,1,proper locative noun
H2924,2,masculine noun
H2925,1,feminine noun
H2926,1,verb
H2927,1,verb
H2928,2,proper locative noun, proper masculine noun
H2929,5,proper masculine noun
H2930,161,verb
H2931,88,adjective
H2932,36,feminine noun
H2933,2,verb
H2934,31,verb
H2935,4,masculine noun
H2936,1,verb
H2937,1,verb
H2938,11,verb
H2939,4,verb
H2940,13,masculine noun
H2941,5,masculine noun
H2942,24,masculine noun
H2943,1,verb
H2944,1,verb
H2945,42,masculine noun
H2946,2,verb
H2947,4,masculine noun
H2948,5,masculine noun
H2949,1,masculine plural noun
H2950,3,verb
H2951,2,masculine noun
H2952,1,verb
H2953,2,masculine noun
H2954,1,verb
H2955,1,proper feminine noun
H2956,2,verb
H2957,4,verb
H2958,1,conjunction
H2959,1,verb
H2960,2,masculine noun
H2961,2,feminine adjective
H2962,56,preposition
H2963,25,verb
H2964,23,masculine noun
H2965,1,adjective
H2966,9,feminine noun
H2967,1,masculine patrial noun
H2968,1,verb
H2969,1,verb
H2970,4,proper masculine noun
H2971,9,proper masculine noun
H2972,1,masculine patrial noun
H2973,4,verb
H2974,19,verb
H2975,65,masculine noun
H2976,6,interjection, verb
H2977,53,proper masculine noun
H2978,1,masculine noun
H2979,1,proper masculine noun
H2980,1,verb
H2981,13,masculine noun
H2982,4,proper locative noun
H2983,41,masculine patrial noun
H2984,3,proper masculine noun
H2985,8,proper masculine noun
H2986,18,verb
H2987,3,verb
H2988,2,masculine noun
H2989,1,proper masculine noun
H2990,1,masculine noun
H2991,3,proper locative noun
H2992,3,verb
H2993,2,masculine noun
H2994,5,feminine noun
H2995,2,proper locative noun
H2996,1,proper locative noun
H2997,1,proper masculine noun
H2998,1,proper masculine noun
H2999,7,proper locative noun
H3000,1,proper masculine noun
H3001,73,verb
H3002,9,adjective
H3003,24,proper locative noun, proper masculine noun
H3004,14,feminine noun
H3005,1,proper masculine noun
H3006,2,feminine noun
H3007,1,feminine noun
H3008,3,proper masculine noun
H3009,1,verb
H3010,1,masculine noun
H3011,2,proper locative feminine noun
H3012,1,proper masculine noun
H3013,8,verb
H3014,1,verb
H3015,14,masculine noun
H3016,2,adjective
H3017,1,proper locative noun
H3018,16,masculine noun
H3019,1,adjective
H3020,1,proper masculine noun
H3021,26,verb
H3022,1,masculine noun
H3023,3,adjective
H3024,1,feminine noun
H3025,5,verb
H3026,1,proper locative noun
H3027,1617,feminine noun
H3028,17,feminine noun
H3029,2,verb
H3030,1,proper locative noun
H3031,1,proper masculine noun
H3032,3,noun, verb
H3033,1,feminine noun
H3034,114,verb
H3035,2,proper masculine noun
H3036,1,proper masculine noun
H3037,3,proper masculine noun
H3038,17,proper masculine noun
H3039,9,adjective, masculine noun
H3040,1,proper feminine noun
H3041,1,proper masculine noun
H3042,2,proper masculine noun
H3043,6,proper masculine noun
H3044,1,proper masculine noun
H3045,942,verb
H3046,47,verb
H3047,2,proper masculine noun
H3048,11,proper masculine noun
H3049,11,masculine noun
H3050,48,proper noun with reference to deity
H3051,33,verb
H3052,28,verb
H3053,1,masculine noun
H3054,1,verb
H3055,1,proper locative noun
H3056,1,proper masculine noun
H3057,1,feminine adjective, proper feminine noun
H3058,58,proper masculine noun
H3059,20,proper masculine noun
H3060,17,proper masculine noun
H3061,7,proper locative noun
H3062,10,proper plural noun
H3063,818,proper masculine noun
H3064,76,masculine noun
H3065,4,proper masculine noun
H3066,6,feminine proper adjective (used as an adverb)
H3067,1,proper feminine noun
H3068,6220,proper noun with reference to deity
H3069,608,proper noun with reference to deity
H3070,0,proper locative noun
H3071,0,proper locative noun
H3072,0,proper masculine noun
H3073,0,proper locative noun
H3074,0,proper locative noun
H3075,4,proper masculine noun
H3076,11,proper masculine noun
H3077,51,proper masculine noun
H3078,10,proper masculine noun
H3079,37,proper masculine noun
H3080,2,proper masculine noun
H3081,1,proper masculine noun
H3082,8,proper masculine noun
H3083,80,proper masculine noun
H3084,1,proper masculine noun
H3085,2,proper masculine noun
H3086,2,proper feminine noun
H3087,8,proper masculine noun
H3088,29,proper masculine noun
H3089,1,proper feminine noun
H3090,2,proper feminine noun
H3091,218,proper masculine noun
H3092,84,proper locative noun, proper masculine noun
H3093,2,adjective
H3094,2,proper masculine noun
H3095,3,masculine noun
H3096,9,proper locative noun
H3097,145,proper masculine noun
H3098,11,proper masculine noun
H3099,4,proper masculine noun
H3100,19,proper masculine noun
H3101,47,proper masculine noun
H3102,1,proper masculine noun
H3103,9,proper masculine noun
H3104,27,masculine noun
H3105,1,masculine noun
H3106,1,proper masculine noun
H3107,11,proper masculine noun
H3108,0,proper masculine noun
H3109,2,proper masculine noun
H3110,22,proper masculine noun
H3111,5,proper masculine noun
