StrongsId,ReferenceCount,PartOfSpeech
H0261,1,proper masculine noun
H0262,1,feminine noun
H0263,1,feminine noun
H0264,1,masculine noun
H0265,1,proper masculine noun
H0266,5,adjective
H0267,1,proper masculine noun
H0268,41,substantive
H0269,114,feminine noun
H0270,68,verb
H0271,41,proper masculine noun
H0272,66,feminine noun
H0273,1,proper masculine noun
H0274,37,proper masculine noun
H0275,1,proper masculine noun
H0276,1,proper masculine noun
H0277,2,proper masculine noun
H0278,1,proper masculine noun
H0279,2,proper masculine noun
H0280,1,feminine noun
H0281,24,proper masculine noun
H0282,1,proper masculine noun
H0283,6,proper masculine noun
H0284,1,proper masculine noun
H0285,15,proper masculine noun
H0286,5,proper masculine noun
H0287,1,proper masculine noun
H0288,17,proper masculine noun
H0289,4,proper masculine noun
H0290,15,proper locative noun
H0291,1,proper masculine noun
H0292,1,proper masculine noun
H0293,7,proper feminine noun
H0294,3,proper masculine noun
H0295,6,proper masculine noun
H0296,20,proper masculine noun
H0297,1,proper masculine noun
H0298,1,adjective
H0299,5,proper masculine noun
H0300,1,proper masculine noun
H0301,1,proper masculine noun
H0302,20,proper masculine noun
H0303,1,proper locative noun
H0304,2,proper masculine/feminine noun
H0305,2,interjection
H0306,2,feminine noun
H0307,1,proper locative noun
H0308,1,proper feminine noun
H0309,17,verb
H0310,715,feminine adjective, adverb, preposition
H0311,3,adverb
H0312,166,adjective
H0313,1,proper masculine noun
H0314,51,adjective
H0315,1,proper masculine noun
H0316,1,proper masculine noun
H0317,6,adjective
H0318,1,adverb
H0319,61,feminine noun
H0320,1,feminine noun
H0321,5,adjective
H0322,7,adverb
H0323,4,masculine noun
H0324,9,masculine noun
H0325,31,proper masculine noun
H0326,1,proper masculine noun
H0327,2,adjective
H0328,7,adverb
H0329,6,masculine noun
H0330,1,masculine noun
H0331,8,verb
H0332,1,verb
H0333,5,proper masculine noun
H0334,2,adjective
H0335,36,interrogative adverb
H0336,1,adverb
H0337,2,interjection
H0338,3,masculine noun
H0339,36,masculine noun
H0340,1,verb
H0341,282,substantive
H0342,5,feminine noun
H0343,24,masculine noun
H0344,4,feminine noun
H0345,6,proper masculine noun
H0346,46,interrogative adverb
H0347,58,proper masculine noun
H0348,22,proper feminine noun
H0349,82,interjection, interrogative adverb
H0350,2,proper masculine noun
H0351,1,interjection
H0352,183,masculine noun
H0353,1,masculine noun
H0354,11,masculine noun
H0355,8,feminine noun
H0356,6,proper locative noun, proper masculine noun
H0357,10,proper locative noun
H0358,1,proper locative noun
H0359,8,proper locative noun
H0360,1,feminine noun
H0361,15,masculine noun
H0362,6,proper locative noun
H0363,6,masculine noun
H0364,1,proper locative noun
H0365,3,feminine noun
H0366,3,adjective
H0367,17,feminine noun
H0368,3,proper masculine plural noun
H0369,788,adverb, noun, negation
H0370,16,interrogative adverb
H0371,1,interrogative adverb
H0372,1,proper masculine noun
H0373,1,adjective
H0374,40,feminine noun
H0375,10,interrogative adverb
H0376,2006,masculine noun
H0377,1,verb
H0378,11,proper masculine noun
H0379,1,proper masculine noun
H0380,5,masculine noun
H0381,0,masculine noun
H0382,0,proper locative noun
H0383,17,substantive
H0384,3,proper masculine noun
H0385,21,proper masculine noun
H0386,13,adjective
H0387,8,proper masculine noun
H0388,1,proper masculine noun
H0389,161,adverb
H0390,1,proper locative noun
H0391,2,adjective
H0392,4,proper locative noun
H0393,4,adjective
H0394,8,adjective
H0395,1,feminine noun
H0396,1,feminine noun
H0397,21,proper masculine noun
H0398,809,verb
H0399,7,verb
H0400,44,masculine noun
H0401,1,proper masculine noun
H0402,18,feminine noun
H0403,18,adverb
H0404,1,verb
H0405,1,masculine noun
H0406,7,masculine noun
H0407,3,proper locative noun
H0408,725,adverb of negation
H0409,4,adverb of negation
H0410,248,masculine noun
H0411,9,demonstrative particle
H0412,1,demonstrative particle
H0413,5504,preposition
H0414,1,proper masculine noun
H0415,0,proper noun
H0416,0,proper locative noun
H0417,3,masculine noun
H0418,3,masculine noun
H0419,2,proper masculine noun
H0420,2,proper masculine noun
H0421,1,verb
H0422,6,verb
H0423,36,feminine noun
